      时间	    开盘	    最高	    最低	    收盘	   MA.MA1   	   MA.MA2   	   MA.MA3   	   MA.MA4   
 2018/01/02	5.6	5.91	5.6	5.81	5.61	5.52	5.49	5.46
 2018/01/03	5.8	5.96	5.78	5.91	5.69	5.57	5.51	5.47
 2018/01/04	6	6.52	6	6.34	5.85	5.66	5.55	5.49
 2018/01/05	6.34	6.62	6.29	6.5	6.03	5.77	5.6	5.51
 2018/01/08	6.46	6.58	6.42	6.49	6.21	5.88	5.65	5.53
 2018/01/09	6.51	6.55	6.37	6.44	6.34	5.97	5.7	5.55
 2018/01/10	6.61	6.79	6.54	6.59	6.47	6.08	5.75	5.58
 2018/01/11	6.59	6.62	6.45	6.52	6.51	6.18	5.81	5.59
 2018/01/12	6.54	6.67	6.43	6.59	6.53	6.28	5.87	5.62
 2018/01/15	6.64	6.88	6.54	6.73	6.57	6.39	5.93	5.64
 2018/01/16	6.72	6.82	6.53	6.55	6.6	6.47	5.99	5.66
 2018/01/17	6.49	6.69	6.4	6.47	6.57	6.52	6.05	5.68
 2018/01/18	6.49	6.49	6.33	6.44	6.56	6.53	6.1	5.7
 2018/01/19	6.43	6.55	6.38	6.48	6.53	6.53	6.15	5.72
 2018/01/22	6.5	6.56	6.31	6.35	6.46	6.52	6.2	5.73
 2018/01/23	6.42	6.49	6.32	6.48	6.44	6.52	6.25	5.75
 2018/01/24	6.56	6.77	6.46	6.76	6.5	6.54	6.31	5.77
 2018/01/25	6.86	6.95	6.66	6.69	6.55	6.55	6.37	5.79
 2018/01/26	6.62	6.83	6.58	6.82	6.62	6.58	6.43	5.81
 2018/01/29	6.83	7.06	6.8	6.88	6.73	6.59	6.49	5.83
 2018/01/30	6.77	6.86	6.62	6.65	6.76	6.6	6.53	5.85
 2018/01/31	6.57	6.59	6.46	6.52	6.71	6.61	6.56	5.87
 2018/02/01	6.54	6.61	6.41	6.6	6.69	6.62	6.58	5.88
 2018/02/02	6.63	7	6.51	6.98	6.73	6.67	6.6	5.9
 2018/02/05	6.8	7.11	6.78	7.07	6.76	6.75	6.63	5.93
 2018/02/06	6.85	6.97	6.66	6.85	6.8	6.78	6.65	5.95
 2018/02/07	6.9	7.16	6.48	6.59	6.82	6.77	6.65	5.97
 2018/02/08	6.36	6.37	6.02	6.16	6.73	6.71	6.63	5.98
 2018/02/09	5.88	5.93	5.55	5.82	6.5	6.61	6.59	5.99
 2018/02/12	5.72	5.83	5.65	5.74	6.23	6.5	6.55	5.99
 2018/02/13	5.79	5.9	5.75	5.78	6.02	6.41	6.51	6
 2018/02/14	5.79	5.81	5.68	5.75	5.85	6.33	6.47	6
 2018/02/22	5.87	5.95	5.81	5.92	5.8	6.27	6.44	6.01
 2018/02/23	6	6.09	5.94	6.02	5.84	6.17	6.42	6.02
 2018/02/26	6.09	6.19	6.02	6.07	5.91	6.07	6.41	6.02
