      时间	    开盘	    最高	    最低	    收盘	   MA.MA1   	   MA.MA2   	   MA.MA3   	   MA.MA4   
 2018/01/02	13.21	13.79	13.18	13.56	13.29	13.26	13.08	12.54
 2018/01/03	13.59	13.72	13.06	13.19	13.23	13.27	13.08	12.58
 2018/01/04	13.18	13.23	12.99	13.11	13.22	13.27	13.09	12.6
 2018/01/05	13.07	13.21	13.01	13.16	13.24	13.24	13.12	12.63
 2018/01/08	13.11	13.15	12.72	12.82	13.17	13.19	13.11	12.66
 2018/01/09	12.82	13.06	12.78	12.94	13.04	13.17	13.09	12.69
 2018/01/10	12.9	13.35	12.78	13.33	13.07	13.15	13.11	12.72
 2018/01/11	13.27	13.45	13.13	13.26	13.1	13.16	13.12	12.75
 2018/01/12	13.31	13.54	13.27	13.41	13.15	13.19	13.15	12.78
 2018/01/15	13.37	14.19	13.36	14.06	13.4	13.28	13.23	12.82
 2018/01/16	14.03	14.24	13.88	14.06	13.62	13.33	13.3	12.87
 2018/01/17	14.19	14.66	14.06	14.09	13.78	13.42	13.34	12.92
 2018/01/18	14.26	14.58	14.14	14.58	14.04	13.57	13.42	12.98
 2018/01/19	14.66	14.99	14.54	14.66	14.29	13.72	13.48	13.04
 2018/01/22	14.46	14.8	14.29	14.3	14.34	13.87	13.53	13.09
 2018/01/23	14.22	14.76	14.19	14.51	14.43	14.03	13.6	13.14
 2018/01/24	14.52	14.94	14.36	14.5	14.51	14.14	13.65	13.19
 2018/01/25	14.31	14.33	13.86	14.06	14.41	14.22	13.69	13.24
 2018/01/26	14.04	14.2	13.88	13.91	14.26	14.27	13.73	13.28
 2018/01/29	13.91	14.11	13.46	13.6	14.12	14.23	13.76	13.32
 2018/01/30	13.56	13.7	13.41	13.51	13.92	14.17	13.75	13.36
 2018/01/31	13.46	13.91	13.39	13.91	13.8	14.15	13.79	13.39
 2018/02/01	13.81	14.16	13.7	13.89	13.76	14.08	13.83	13.42
 2018/02/02	13.77	13.96	13.49	13.91	13.76	14.01	13.87	13.45
